address,student_id,valid_from
"26796 Alan Route Suite 700, Jessicaside, WY 07288-5899",1,2011-07-01
"8110 Karen Junction Suite 900, West Anthony, NE 44442-5987",1,2011-12-19
"1144 Deborah Center Suite 114, West Erikastad, NJ 82394-2507",2,2011-01-01
"611 Warner Forge Apt. 049, East Jerome, MH 14263-2055",2,2011-11-03
"623 Alan Key, West Anthonyberg, IL 17494",2,2012-05-17
"727 Rose Port Suite 231, Ericberg, MP 49574-9303",2,2012-08-26
"393 Noble Trace, West Patrick, GU 09709-5744",3,2011-01-01
"4004 Hernandez Square, West Douglasborough, AK 16826",3,2011-01-03
"490 Sydney Pass Suite 009, Patrickmouth, PA 78700",3,2011-04-16
"893 Regina Extensions Suite 989, Millerfurt, NY 17731-7202",3,2012-09-19
"701 Murray Well, East Kyleburgh, DC 91241",4,2011-01-01
"55359 Allen Ferry, Michealmouth, DE 93205",5,2011-01-01
"3032 Alexandra Common, Port Michaelshire, UT 87028",5,2011-12-30
"0480 Shawna Estate Suite 388, Williamfort, NY 72357-2976",5,2012-01-07
"Unit 3819 Box 7154, DPO AP 86679-9726",6,2012-01-01
"84659 Jimmy Walk Suite 804, New Jackton, WV 82811",7,2011-01-01
"702 Daugherty Rue, Hoburgh, MA 69343",8,2012-01-01
"89957 Anthony Falls, North Kevinbury, AS 55309",8,2012-04-28
"453 Sanchez Plaza Apt. 008, Wellsview, PR 71779",8,2012-12-18
